['water', 'waters', 'dark', 'large', 'background']
['zebras', 'standing', 'grass', 'sandy', 'field']
['wire', 'yellow', 'donuts', 'eyes', 'blue']
['dark', 'scissors', 'black', 'sign', 'eyes']
['flight', 'sky', 'red', 'eyes', 'background']
['people', 'horse', 'man', 'animals', 'kite']
['man', 'tie', 'ties', 'pictures', 'men']
['bathroom', 'picture', 'showing', 'pictures', 'cover']
['clock', 'face', 'lit', 'green', 'showing']
['photograph', 'sitting', 'shirt', 'man', 'picture']
['green', 'people', 'standing', 'like', 'set']
['keyboard', 'screen', 'racket', 'shopping', 'desktop']
['wii', 'people', 'game', 'nintendo', 'video']
['man', 'pictures', 'showing', 'cover', 'picture']
['sign', 'red', 'like', 'smiles', 'standing']
['colors', 'picture', 'showing', 'multi', 'colored']
['woman', 'picture', 'young', 'man', 'black']
['bright', 'picture', 'bathroom', 'vintage', 'clocks']
['ceiling', 'store', 'people', 'restaurant', 'sign']
['bed', 'bedroom', 'hotel', 'pillows', 'upside']
['black', 'picture', 'bathroom', 'dark', 'town']
['dark', 'black', 'sign', 'town', 'scissors']
['sign', 'signs', 'eyes', 'bunch', 'dark']
['man', 'swing', 'standing', 'board', 'picture']
['green', 'cloudy', 'sky', 'yellow', 'airplanes']
['scissors', 'shorts', 'sign', 'zebras', 'traffic']
['grass', 'field', 'green', 'area', 'farm']
['wedding', 'wii', 'phones', 'man', 'white']
['black', 'picture', 'colorful', 'device', 'multiple']
['bathroom', 'picture', 'eyes', 'office', 'beneath']
['television', 'tv', 'screen', 'set', 'sitting']
['pictures', 'photos', 'people', 'phones', 'reads']
['sign', 'picture', 'ship', 'office', 'stop']
['truck', 'transit', 'vehicle', 'road', 'driving']
['bathroom', 'shorts', 'office', 'gray', 'bird']
['potatoes', 'picture', 'screen', 'blue', 'showing']
['statue', 'blue', 'jump', 'farm', 'ramp']
['plate', 'sandwiches', 'food', 'bananas', 'fries']
['snow', 'snowy', 'hydrant', 'covered', 'street']
['cat', 'grey', 'looking', 'neck', 'sitting']
['tooth', 'photograph', 'camera', 'picture', 'tie']
['man', 'happy', 'scissors', 'camera', 'sign']
['scissors', 'eyes', 'black', 'bunch', 'sign']
['vintage', 'picture', 'ceiling', 'cellphone', 'showing']
['sign', 'pictures', 'drink', 'sitting', 'hot']
['bananas', 'black', 'broccoli', 'clock', 'dry']
['cup', 'person', 'hand', 'holding', 'wire']
['cell', 'sitting', 'phone', 'wearing', 'pink']
['brushing', 'girl', 'woman', 'teeth', 'smiling']
['sink', 'pots', 'stove', 'prepared', 'bowl']
['papers', 'blue', 'picture', 'sky', 'white']
['bird', 'showing', 'picture', 'bathroom', 'bright']
['picture', 'town', 'bathroom', 'vintage', 'bright']
['bathroom', 'black', 'picture', 'showing', 'eyes']
['sunset', 'water', 'sun', 'setting', 'trees']
['stainless', 'touching', 'drives', 'reflection', 'ground']
['sign', 'closed', 'baseball', 'black', 'boarder']
['man', 'head', 'red', 'picture', 'photograph']
['screen', 'flower', 'business', 'photograph', 'showing']
['mouse', 'flies', 'blue', 'sitting', 'like']
['people', 'group', 'bunch', 'dogs', 'different']
['man', 'winter', 'young', 'wearing', 'eating']
['bird', 'book', 'photograph', 'sandwich', 'showing']
['bathroom', 'clocks', 'picture', 'office', 'bright']
['woman', 'hair', 'girl', 'flies', 'lady']
['sign', 'yellow', 'picture', 'ground', 'street']
['man', 'sand', 'tie', 'sitting', 'tent']
['tray', 'metal', 'close', 'multiple', 'sits']
['screen', 'television', 'different', 'signs', 'tv']
['bus', 'sitting', 'grey', 'city', 'street']
['view', 'clouds', 'sky', 'airplane', 'window']
['pictures', 'picture', 'vintage', 'screen', 'photos']
['shelves', 'pictures', 'colors', 'filled', 'containing']
['sign', 'eyes', 'black', 'animals', 'types']
['bathroom', 'toilet', 'room', 'building', 'small']
['man', 'standing', 'wearing', 'sign', 'closed']
['picture', 'black', 'cover', 'sign', 'white']
['scissors', 'picture', 'sky', 'ripe', 'bright']
['picture', 'smart', 'cellphone', 'scissors', 'ripe']
['picture', 'bird', 'wearing', 'seen', 'white']
['bright', 'picture', 'turned', 'games', 'photograph']
['man', 'posing', 'photos', 'sitting', 'photo']
['sky', 'sun', 'winter', 'mountain', 'rain']
['sky', 'pink', 'commercial', 'wearing', 'sign']
['kites', 'drawn', 'pieces', 'flying', 'overhead']
['mouse', 'closed', 'commuter', 'showing', 'apple']
['bird', 'banana', 'showing', 'bathroom', 'picture']
['street', 'city', 'people', 'man', 'road']
['stuffed', 'bear', 'animals', 'animal', 'sheep']
['cloudy', 'blurry', 'view', 'distance', 'giraffe']
['ties', 'talking', 'people', 'group', 'men']
['screen', 'flower', 'green', 'picture', 'photo']
['bathroom', 'picture', 'gray', 'sign', 'black']
['grass', 'dog', 'field', 'mouth', 'lush']
['ripe', 'picture', 'perched', 'vintage', 'bird']
['trees', 'tree', 'giraffe', 'wooded', 'leaves']
['cover', 'pictures', 'photos', 'bright', 'sign']
['man', 'posing', 'people', 'woman', 'picture']
['appliances', 'red', 'white', 'door', 'wall']
['wearing', 'racket', 'dress', 'red', 'woman']
['man', 'wearing', 'flies', 'sail', 'himself']
['man', 'tie', 'american', 'face', 'close']
['showing', 'picture', 'pen', 'commuter', 'bathroom']
['stop', 'sign', 'painting', 'pink', 'bathroom']
['snowboarding', 'pink', 'air', 'photo', 'wearing']
['sign', 'signs', 'painting', 'different', 'red']
['like', 'white', 'decorative', 'decorated', 'hand']
['bright', 'brightly', 'screen', 'colors', 'green']
['elephants', 'graffiti', 'ship', 'flying', 'crossing']
['tennis', 'racket', 'court', 'player', 'female']
['photos', 'woman', 'picture', 'photo', 'pictures']
['sign', 'restaurant', 'sitting', 'night', 'hanging']
['night', 'dark', 'traffic', 'red', 'light']
['scissors', 'eyes', 'dark', 'purple', 'bright']
['eyes', 'bathroom', 'bright', 'sky', 'commercial']
['black', 'wearing', 'outfit', 'wedding', 'lying']
['cell', 'phone', 'smart', 'device', 'roll']
['beach', 'sand', 'water', 'sandy', 'sailing']
['table', 'cup', 'coffee', 'sitting', 'bowl']
['sign', 'man', 'posing', 'talking', 'american']
['tracks', 'green', 'wooded', 'wood', 'background']
['slices', 'cake', 'paper', 'american', 'piece']
['paper', 'white', 'pen', 'flat', 'image']
['book', 'mother', 'purple', 'sill', 'stuff']
['painting', 'colored', 'sky', 'blue', 'ocean']
['smaller', 'road', 'large', 'video', 'player']
['restaurant', 'brick', 'store', 'building', 'sidewalk']
['people', 'group', 'colors', 'screen', 'showing']
['market', 'display', 'produce', 'sitting', 'shopping']
['sunglasses', 'man', 'glasses', 'controller', 'wearing']
['man', 'camera', 'wearing', 'shows', 'making']
['commuter', 'smart', 'train', 'screen', 'blue']
['painting', 'old', 'picture', 'photo', 'woman']
