['bright', 'green', 'action', 'black', 'dark']
['man', 'wearing', 'ski', 'standing', 'posing']
['sky', 'bright', 'flag', 'airplane', 'orange']
['racket', 'man', 'picture', 'sign', 'camera']
['photo', 'hair', 'woman', 'man', 'black']
['scissors', 'black', 'sky', 'dark', 'town']
['case', 'oven', 'hats', 'train', 'pickup']
['woman', 'posing', 'wearing', 'white', 'standing']
['woman', 'cell', 'phone', 'holding', 'sitting']
['group', 'people', 'drinking', 'party', 'crowd']
['man', 'wearing', 'sign', 'ties', 'posing']
['bathroom', 'black', 'picture', 'showing', 'eyes']
['bird', 'bathroom', 'showing', 'clocks', 'picture']
['dress', 'woman', 'holding', 'standing', 'book']
['sign', 'photograph', 'black', 'blurry', 'town']
['photo', 'old', 'men', 'standing', 'picture']
['pose', 'posing', 'holding', 'woman', 'wearing']
['lit', 'street', 'sidewalk', 'view', 'near']
['shaped', 'bear', 'yellow', 'look', 'picture']
['green', 'parked', 'road', 'field', 'docked']
['clocks', 'screen', 'sink', 'showing', 'water']
['yellow', 'bowl', 'filled', 'food', 'mustard']
['yellow', 'zebras', 'stuffed', 'picture', 'snowy']
['sitting', 'blue', 'wooden', 'sides', 'white']
['hydrant', 'cars', 'lots', 'sitting', 'water']
['brushing', 'hair', 'woman', 'girl', 'cell']
['flock', 'picture', 'flying', 'perched', 'house']
['bathroom', 'screen', 'picture', 'birds', 'lays']
['standing', 'orange', 'group', 'people', 'stand']
['dark', 'photo', 'cloudy', 'bright', 'bird']
['beneath', 'picture', 'skateboard', 'photo', 'snowy']
['woman', 'young', 'lady', 'girl', 'holding']
['building', 'sign', 'white', 'black', 'intersection']
['cutting', 'cut', 'posing', 'man', 'woman']
['man', 'standing', 'suit', 'jacket', 'wearing']
['bunch', 'sign', 'eyes', 'parking', 'large']
['case', 'store', 'sit', 'wall', 'picture']
['man', 'painting', 'old', 'boat', 'wearing']
['green', 'past', 'wet', 'traveling', 'area']
['black', 'gray', 'sky', 'says', 'picture']
['posing', 'suit', 'smiling', 'pointing', 'camera']
['group', 'standing', 'woman', 'holding', 'stand']
['woman', 'wearing', 'girl', 'short', 'lady']
['flock', 'picture', 'skies', 'says', 'skate']
['picture', 'photograph', 'woman', 'posing', 'smiling']
['short', 'woman', 'lady', 'sitting', 'wearing']
